date,county,cases,cases_rate,cases_avg_new,cases_avg_new_rate,cases_cume,cases_cume_rate
2020-11-03T00:00:00.000,Butler,24,12.8,45.9,24.4,2050,1091.3
2020-11-02T00:00:00.000,Butler,29,15.4,47.1,25.1,2026,1078.5
2020-11-01T00:00:00.000,Butler,75,39.9,48.4,25.8,1997,1063.1
2020-10-31T00:00:00.000,Butler,50,26.6,40.3,21.4,1922,1023.1
2020-10-30T00:00:00.000,Butler,40,21.3,36.3,19.3,1872,996.5
2020-10-29T00:00:00.000,Butler,52,27.7,35.9,19.1,1832,975.2
2020-10-28T00:00:00.000,Butler,51,27.1,35.7,19,1780,947.5
2020-10-27T00:00:00.000,Butler,33,17.6,33.1,17.6,1729,920.4
2020-10-26T00:00:00.000,Butler,38,20.2,32.9,17.5,1696,902.8
2020-10-25T00:00:00.000,Butler,18,9.6,30.4,16.2,1658,882.6
2020-10-24T00:00:00.000,Butler,22,11.7,29.3,15.6,1640,873
2020-10-23T00:00:00.000,Butler,37,19.7,28.6,15.2,1618,861.3
2020-10-22T00:00:00.000,Butler,51,27.1,26.4,14.1,1581,841.6
2020-10-21T00:00:00.000,Butler,33,17.6,22.4,11.9,1530,814.5
2020-10-20T00:00:00.000,Butler,31,16.5,21.6,11.5,1497,796.9
2020-10-19T00:00:00.000,Butler,21,11.2,20.4,10.9,1466,780.4
2020-10-18T00:00:00.000,Butler,10,5.3,21,11.2,1445,769.2
2020-10-17T00:00:00.000,Butler,17,9,21.1,11.3,1435,763.9
2020-10-16T00:00:00.000,Butler,22,11.7,20.6,11,1418,754.8
2020-10-15T00:00:00.000,Butler,23,12.2,21.6,11.5,1396,743.1
2020-10-14T00:00:00.000,Butler,27,14.4,21.7,11.6,1373,730.9
2020-10-13T00:00:00.000,Butler,23,12.2,21.6,11.5,1346,716.5
2020-10-12T00:00:00.000,Butler,25,13.3,21.6,11.5,1323,704.3
2020-10-11T00:00:00.000,Butler,11,5.9,20.3,10.8,1298,691
2020-10-10T00:00:00.000,Butler,13,6.9,19.9,10.6,1287,685.1
2020-10-09T00:00:00.000,Butler,29,15.4,19.3,10.3,1274,678.2
2020-10-08T00:00:00.000,Butler,24,12.8,17.3,9.2,1245,662.8
2020-10-07T00:00:00.000,Butler,26,13.8,17.1,9.1,1221,650
2020-10-06T00:00:00.000,Butler,23,12.2,15.1,8.1,1195,636.1
2020-10-05T00:00:00.000,Butler,16,8.5,13.6,7.2,1172,623.9
2020-10-04T00:00:00.000,Butler,8,4.3,12.6,6.7,1156,615.4
2020-10-03T00:00:00.000,Butler,9,4.8,11.7,6.2,1148,611.1
2020-10-02T00:00:00.000,Butler,15,8,11.1,5.9,1139,606.3
2020-10-01T00:00:00.000,Butler,23,12.2,10.7,5.7,1124,598.3
2020-09-30T00:00:00.000,Butler,12,6.4,8.4,4.5,1101,586.1
2020-09-29T00:00:00.000,Butler,12,6.4,7.4,4,1089,579.7
2020-09-28T00:00:00.000,Butler,9,4.8,6.7,3.6,1077,573.3
2020-09-27T00:00:00.000,Butler,2,1.1,7.1,3.8,1068,568.5
2020-09-26T00:00:00.000,Butler,5,2.7,7.4,4,1066,567.5
2020-09-25T00:00:00.000,Butler,12,6.4,8.6,4.6,1061,564.8
2020-09-24T00:00:00.000,Butler,7,3.7,7.6,4,1049,558.4
2020-09-23T00:00:00.000,Butler,5,2.7,8.1,4.3,1042,554.7
2020-09-22T00:00:00.000,Butler,7,3.7,9,4.8,1037,552
2020-09-21T00:00:00.000,Butler,12,6.4,10.1,5.4,1030,548.3
2020-09-20T00:00:00.000,Butler,4,2.1,9.1,4.9,1018,541.9
2020-09-19T00:00:00.000,Butler,13,6.9,9.4,5,1014,539.8
2020-09-18T00:00:00.000,Butler,5,2.7,8.1,4.3,1001,532.9
2020-09-17T00:00:00.000,Butler,11,5.9,8.4,4.5,996,530.2
2020-09-16T00:00:00.000,Butler,11,5.9,8.6,4.6,985,524.3
2020-09-15T00:00:00.000,Butler,15,8,8.3,4.4,974,518.5
2020-09-14T00:00:00.000,Butler,5,2.7,9.6,5.1,959,510.5
2020-09-13T00:00:00.000,Butler,6,3.2,9,4.8,954,507.8
2020-09-12T00:00:00.000,Butler,4,2.1,9.4,5,948,504.6
